Arabic Word 	Gloss	Diacritized Reference
ألف	Aleph	أَلِف
ألف	Alf	أَلْف
ألف	Alv	أَلْف
النخر	An-Nakhar	نَخَر
السبل	As-Siball	سِبَل
الطَّرف	Atarfe	طَرْف
بيلك	Belk	بِيلْك
بويس	Bowes	بُويْس
بويس	Boyce	بُويْس
إشتهارد	Eshtehard	إِشْتِهَارْد
درب	Darb	دَرْب
قلت	Dereiçi	قَلْت
الدقم	Duqm	دُقْم
إشتوريل	Estoril	إِشْتُورِيل
مصر	Egypt	مِصْر
فجر	Fajr	فَجْر
فلك	Falak	فَلَك
صقر	Falco	صَقْر
فلك	Falk	فَلْك
حمل	Farvardin	حَمَل
فشع	Fasha	فَشَع
فلت	Flat	فْلَت
حدا	Hada	حَدَا
حلا	Hala	حَلَا
هشم	HaShem	هَشِم
هبة	Heba	هِبَة
هرق	Heraq	هِرَق
هبة	Hiba	هِبَة
المجر	Hungary	مَجَر
جبا	Jabah	جَبَا
جين	Jane	جَيْن
جها	Jha	جَهَا
جفد	Jufad	جُفَد
خمر	Khamr	خَمْر
خرب	Khorab	خُرَب
لغز	Lagaz	لَغَز
الأسد	Leo	أَسَد
حمل	Load	حَمْل
مبح	Mabah	مَبَح
مدل	Madil	مَدِل
إدلسان	Idelsane	إِدِلْسَان
ميط	Maydh	مَيْط
مصر	Mesr	مِصْر
ميا	Mia	مِيَا
مكب	Mikab	مِكَب
ميا	Mýa	مِيَا
نعب	Na`ab	نَعَب
ندر	Nadr	نَدْر
نعض	Nu`d	نُعْض
أوس	Oss	أُوسّ
شعب	People	شَعْب
حور	Populus	حَوْر
بايك	Pyke	بَايْك
قنا	Qena	قِنَا
ريل	Rayl	رَيْل
صقر	Saker	صَقِر
صقر	Saqr	صَقْر
صايص	Sées	صَايْص
ستن	Setan	سِتَن
شعب	She'eb	شِعِب
سلاس	Sless	سْلَاس
طرف	Taraf	طَرَف
الظهر	Thahr	ظَهْر
ثيا	Thea	ثِيَا
ثيا	Theia	ثِيَا
التبت	Tibet	تِبِت
طرف	Tip	طَرَف
إضمين	Idmine	إِضْمِين
إديا	Edéa	إِدْيَا
إفارت	Evart	إِفَارْت
زئيف	Ze'ev	زِئِيف
إفريا	Ivrea	إِفْرِيَا
إهيا	Iheya	إِهِيَا
إهمج	Ehmej	إِهْمِج
العليم	Al-Alim	عَلِيم
العمود	Al-Amud	عَمُود
البلة	Al-Billah	بِلَّة
الغظاة	Al-Ghadhah	غَظَاة
الغيان	Al-Ghiyan	غِيَان
الحبيل	Al-Habil	حَبِيل
الحاجر	Al-Hajir	حَاجِر
الجيزة	Al-Jiza	جِيزَة
الجوار	Al-Juwar	جُوَار
إكسالمونس	Exelmans	إِكْسَالْمُونْس
الغارا	Algarra	أَلْغَارَّا
إلسبيث	Elsebeth	إِلْسِبِيث
ملاك	Angel	مَلَاك
آنثي	Anthe	آنْثِي
أبيس	Apis	أَبِيس
الردة	Ar-Raddah	رَدَّة
الرخي	Ar-Rakhi	رَخِيّ
أسين	Asin	أَسِين
أسين	Asín	أَسِين
اسور	Asur	أَسُور
إليسهايم	Illesheim	إِلِيسْهَايِم
الزعاب	Az-Zaab	زَعَاب
بادر	Baader	بَادِر
بارن	Baarn	بَارْن
بديع	Badí‘	بَدِيع
بديع	Badí‘	بَدِيع
بديع	Badiee	بَدِيع
بديع	Badiee	بَدِيع
بديع	Badīʻ	بَدِيع
بديع	Badīʻ	بَدِيع
بايك	Baek	بَايِك
باغز	Baggs	بَاغْز
إليزا	ELISA	إِلِيزَا
إليزا	Eliza	إِلِيزَا
إليزا	ELIZA	إِلِيزَا
إلبيديوس	Elpidius	إِلْبِيدِيُوس
إلغاتو	Elgato	إِلْغَاتُو
إلسيليموماب	Elsilimomab	إِلْسِيلِيمُومَاب
إلوداي	Elodie	إِلُودَاي
إلوس	Elos	إِلُوس
إمحوتب	Imhotep	إِمْحُوتِب
إمسيلكس	Emselex	إِمْسِيلِكْس
إنشوبينغ	Enköping	إِنْشُوبِينْغ
إنفيبكو	Envipco	إِنْفِيبْكُو
إنكيشوش	Inkishush	إِنْكِيشُوش
إنكريس	Increase	إِنْكْرِيس
إنتايت	Entiat	إِنْتَايِت
إنترلاكن	Interlaken	إِنْتَرْلَاكِن
بيغس	Beggs	بِيغْس
إريكسون	Erickson	إِرِيكْسُون
إريكسون	Ericson	إِرِيكْسُون
إريكسون	Ericsson	إِرِيكْسُون
إريكسون	Erikson	إِرِيكْسُون
إريتشي	Erice	إِرِيتْشِي
إرحالن	Irohalen	إِرْحَالِن
إسباستر	Ispaster	إِسْبَاسْتِر
إسفنداران	Esfandaran	إِسْفَنْدَارَان
بوناه	Boonah	بُونَاه
بونس	Bounce	بَوْنْس
إسكسي	Isseksi	إِسِكْسِي
إسكتلندا	Scotland	إِسْكُتْلَنْدَا
إتاسكا	Itasca	إِتَاسْكَا
البوغة	Bughah	بُوغَة
إتريك	Ettrick	إِتْرِيك
إثناتي	Iznate	إِثْنَاتِي
أبلاي	Aballay	أَبَلَاي
إيغيرويلا	Higueruela	إِيغِيرُويِلَا
شينون	Chinon	شِينُون
إيان	Ian	إِيَان
إيبيكيتا	Ipecaetá	إِيبِيكِيتَا
إيبونا	Epona	إِيبُونَا
إيداباشي	Iidabashi	إِيدَابَاشِي
إيدزفولد	Eidsvold	إِيدْزْفُولْد
إيفرقلو	Everglow	إِيفَرْقْلُو
أكوافيفا	Acquaviva	أَكُوَافِيفَا
ددن	Dadan	دَدَن
إيجل	Egil	إِيجِل
إيجلهام	Egglham	إِيجْلْهَام
إيكيرسدورف	Eckersdorf	إِيكِيرْسْدُورْف
إيكسان	Iksane	إِيكْسَان
إيكولاب	Ecolab	إِيكُولَاب
إيليا	Ilya	إِيلِيَا
إيلوري	Elloree	إِيلُورِي
دفن	Difan	دِفَن
الجريد	Djerid	جِرِيد
إينيني	Inini	إِينِينِي
الدقي	Dokki	دُقِّي
أكوريوس	Acoreus	أَكُورْيُوس
إيغيل	Eagle	إِيغِيل
ايبي	Ebbe	إِيبِي
ايغر	Eger	إِيغِر
إيريسوس	Ierissos	إِيرِيسُوس
إيرفاين	Irvine	إِيرْفَايْن
إيرمغارد	Irmgard	إِيرْمْغَارْد
إيرني	Ernie	إِيرْنِي
إيروينغتون	Irvington	إِيرْوِينْغْتُون
إيسا	Isa	إِيسَا
إيسه	Ise	إِيسَه
إيسميني	Ismene	إِيسْمِينِي
إيستاني	L’Estany	إِيسْتَانِي
إيستري	Eastry	إِيسْتْرِي
إيستبورن	Eastbourne	إِيسْتْبُورْن
إيتابيبوكا	Itapipoca	إِيتَابِيبُوكَا
إيتابيلا	Itabela	إِيتَابِيلَا
إيتربيك	Etterbeek	إِيتَرْبِيك
إيواو	Iwao	إِيوَاو
أشيل	Achille	أَشِيل
أباندا	Abanda	أَبَانْدَا
أبجد	Abjjad	أَبْجَد
أياني	Aiani	أَيَانِي
أبريس	Apries	أَبْرِيس
أبيجيل	Abigail	أَبِيجَيْل
أبينوخار	Abenójar	أَبِينُوخَار
أبيس	Abyss	أَبِيس
أبيساي	Apisai	أَبِيسَاي
أبديتا	Abdita	أَبْدِيتَا
أجسيكليز	Agasicles	أَجَسِيكْلِيز
أبليبي	Appleby	أَبْلِيبِي
الحبوس	Habous	حَبُوس
أبخازيا	Abkhazia	أَبْخَازِيَا
أبخورة	Abkhvoreh	أَبْخُورَة
أبوتكس	Apotex	أَبُوتِكْس
أدرنة	Edirne	أَدِرْنَة
أديلين	Adelin	أَدِيلِين
الخليل	Hebron	خَلِيل
أدفاغراف	Advagraf	أَدْفَاغْرَاف
هيلر	Heller	هِيلَر
أدغيل	Adghayl	أَدْغَيْل
أدما	Adma	أَدْمَا
أدراسمون	Adrasmon	أَدْرَاسْمُون
أدولف	Adolf	أَدُولْف
أدولف	Adolph	أَدُولْف
أدولف	Adolphe	أَدُولْف
أدولف	Audulf	أُدُولْف
أفنيون	Avignon	أَفِنْيُون
أفياري	Aviary	أَفْيَارِي
أفيلا	Avella	أَفِيلَا
أفيلا	Avilla	أَفِيلَا
شعال	Shaal	شَعَال
أفيرميس	Avermes	أَفِيرْمِيس
أفراح	Afrah	أَفْرَاح
أفراموفو	Avramovo	أَفْرَامُوفُو
أفراسياب	Afrasiab	أَفْرَاسِيَاب
شكيم	Shechem	شِكِيم
أفسو	Afsou	أَفْسُو
أغابوس	Agabus	أَغَابُوس
أغادا	Aghada	أَغَادَا
أغريبا	Agrippa	أَغْرِيبَا
خرة	Kherreh	خِرَّة
أغوتمان	Aghutman	أَغُوتْمَان
شنان	Anabasis	شَنَان
أهود	Ehud	أَهُود
شريف	Sharif	شَرِيف
أجدابيا	Ajdabiya	أَجْدَابِيَا
أجريل	Agrale	أَجْرِيل
كورش	Kourosh	كُورْش
كوروا	Kourou	كُورُوَا
شريف	Sherif	شِرِيف
أكليف	Aglif	أَكْلِيف
أكلينز	Acklins	أَكْلِينْز
أكنول	Aknoul	أَكْنُول
أكرسان	Akersane	أَكِرْسَان
أكسل	Aksel	أَكْسِل
أكسل	Axel	أَكْسِل
شواز	Shavaz	شَوَاز
ألشتر	Aleshtar	أَلِشْتَر
شنان	Shinan	شِنَان
أليكسيفا	Alexeyeva	أَلِيكْسِيفَا
أليزيو	Alezio	أَلِيزِيُو
ألبال	Albal	أَلْبَال
ألبيمارل	Albemarle	أَلْبِيمَارْل
ألبيرا	Alpera	أَلْبِيرَا
ألبيرونا	Alberona	أَلْبِيرُونَا
ألبيون	Albion	أَلْبِيُون
أهوارك	Ahvarak	أَهْوَارَك
بانو	Bannu	بَانُو
باري	Parry	بَارِي
بارن	PARN	بَارْن
بجيم	Pajim	بَجِيم
بيكو	Peko	بِيكُو
مجيك	Mijek	مِجِيك
بيكو	Piku	بِيكُو
بيرآخ	Perach	بِيرآخ
ألتود	Altud	أَلْتُود
ألتورف	Altorf	أَلْتُورْف
بتاح	Ptah	بْتَاح
أمادورا	Amadora	أَمَادُورَا
أمافيدا	Amavida	أَمَافِيدَا
أمالفي	Amalfi	أَمَالْفِي
أمانيزلو	Amanislo	أَمَانِيزْلُو
أماندا	Amanda	أَمَانْدَا
بوبر	Popper	بُوبَر
بونس	Ponce	بُونْس
أمشير	Meshir	أَمْشِير
أمشيتكا	Amchitka	أَمْشِيتْكَا
أمبانا	Ampana	أَمْبَانَا
أمغرة	Amghara	أَمْغَرَة
أناباي	Anabay	أَنَابَاي
أنامق	Anamoq	أَنَامُق
أناندال	Annandale	أَنَانْدَال
أناتول	Anatole	أَنَاتُول
أنايا	Anaya	أَنَايَا
بونس	Pons	بُونْس
ألتشيفسك	Alchevsk	أَلْتْشِيفِسْك
عجاج	Agag	عَجَاج
فوغو	Fogo	فُوغُو
فوغو	Fugu	فُوغُو
غاغو	Gago	غَاغُو
أيتوليكو	Aitoliko	أَيْتُولِيكُو
غورد	Gord	غُورْد
والقاضي	Oualqadi	وَالْقَاضِي
هاغن	Hagen	هَاغِن
هاكو	Haku	هَاكُو
هاسل	Hassell	هَاسِل
أيتوتاكي	Aitutaki	أَيْتُوتَاكِي
أخازير	Akhazir	أَخَازِير
ألبونس	Albons	أَلْبُونْس
أنتيروب	ANTIROBE	أَنْتِيرُوب
حينة	Hinah	حِينَة
ألدرشوت	Aldershot	أَلْدَرْشُوت
هونغ	Kong	هُونْغ
بيخا	Peja	بِيخَا
جواش	Javash	جَوَاش
ألدخيسل	Aldgisl	أَلْدْخِيسِل
جخيش	Jekhish	جِخِيش
ألغينيا	Algueña	أَلْغِينْيَا
جبة	Jubbah	جُبَّة
ألديرس	Allders	أَلْدِيرْس
جودا	Judah	جُودَا
ألتسشورن	Aletschhorn	أَلِتْسْشُورْن
كريب	KREEP	كْرِيب
أربط	Arbat	أَرْبَط
أردل	Ardal	أَرْدَل
أرفارا	Arfara	أَرْفَارَا
أرفير	Arvier	أَرْفِير
أرغين	Arguin	أَرْغِين
أرجك	Arjak	أَرْجَك
أركانة	Argana	أَرْكَانَة
أركم	Arkham	أَرْكَم
أركيل	Arkell	أَرْكِيل
أركور	Arcore	أَرْكُور
ليتو	Leto	لِيتُو
ليتو	Lito	لِيتُو
لولو	Lulu	لُولُو
مايو	Maio	مَايُو
مايو	May	مَايُو
مايو	Mayo	مَايُو
مداي	Madai	مَدَاي
مجيد	Majid	مَجِيد
ملاك	Malak	مَلَاك
أولكيبوب	Allkpop	أُولْكِيبُوب
شعب	Sha'ab	شَعَب
ألمالي	Almaly	أَلْمَالِي
ألويسي	Aloisi	أَلُوِيسِي
أمندي	Amandi	أَمَنْدِي
مناب	Munab	مُنَاب
عمرحوت	Amrhut	عُمْرَحُوت
عمالقة	Amalekites	عَمَالِقَة
ناسو	Naso	نَاسُو
ناسو	Nasu	نَاسُو
سيلاو	Silao	سِيلَاو
نقير	Naqir	نَقِير
نراق	Naraq	نَرَاق
عميعاد	Ami'ad	عَمِيعَاد
عمينداف	Aminadav	عَمِينْدَاف
ريغا	Riga	رِيغَا
رينز	Rhens	رِينْز
أيابيل	Ayapel	أَيَابِيل
ريسي	Reese	رِيسِي
ستن	Sten	سْتِن
أيسك	Ayask	أَيَسْك
أيلين	Aileen	أَيْلِين
أينسورث	Ainsworth	أَيْنْسُورْث
ريثل	Rethel	رِيثِل
صافي	Safi	صَافِي
أنوهاك	Anahuac	أَنُوهَاك
عمروس	Amrous	عَمْرُوس
تافت	Taft	تَافْت
طلاس	Talas	طَلَاس
تليه	Telih	تِلِيه
تريش	Terish	تِرِيش
تيكس	Tex	تِيكْس
تتا	Thatta	تَتَّا
تهيل	Theale	تِهِيل
ثيان	Thiane	ثِيَان
ثولي	Thule	ثُولِي
تيكس	Tix	تِيكْس
تيزج	Tizej	تِيزِج
تومي	Tomie	تُومِي
تومي	Tommi	تُومِي
تومي	Tomy	تُومِي
توبين	Töpen	تُوبِين
طولش	Towlash	طُولَش
تريل	Trail	تْرِيل
توتل	Tuttle	تُوتِل
يوديل	Udell	يُودِيل
بارو	Utqiagvik	بَارُو
وير	Viyar	وِير
فآنغ	Wang	فَآنْغ
واساب	Wassup	وَاسَاب
فينر	Weener	فِينَر
ويلن	Willen	وِيلْن
رايت	Wright	رَايْت
ووهو	Wuhu	وُوهُو
ياكلا	Yala	يَاكْلَا
يوني	Yuni	يُونِي
ذاكر	Zaker	ذَاكِر
زاراي	Zaraï	زَارَاي
زئيف	Zeev	زِئِيف
زينك	Zink	زِينْك
زينر	Zinner	زِينَر
شيوان	Ziyuan	شِيوَان
الست	Aalst	أَلْسْت
أنغلسي	Anglesey	أَنْغِلْسِي
أبييف	Abiyev	أَبِييِف
أنكوريج	Anchorage	أَنْكُورِيج
سبير	Spier	سْبِير
سكار	Scar	سْكَار
سميث	Smith	سْمِيث
سنيد	Snead	سْنِيد
أندالجالا	Andalgalá	أَنْدَالْجَالَا
سوفة	Souve	سُوفَة
العجمة	Al-Ajmah	عَجْمَة
الفرضة	Al-Fardah	فَرْضَة
الفرذخ	Al-Fardthakh	فَرْذَخ
الفرضة	Al-Furdah	فُرْضَة
الجبار	Al-Jabbar	جَبَّار
الجحلة	Al-Jahlah	جَحْلَة
الخشبة	Al-Khashbah	خَشْبَة
الشماط	Al-Shammat	شَمَّاط
السخنة	Al-Sukhnah	سُخْنَة
التبني	Al-Tabni	تَبْنِي
سوجو	Suzhou	سُوجُو
أندالوسيا	Andalusia	أَنْدَالُوسِيَا
سوسة	Sousse	سُوسَة
أقصي	Aqsa	أَقْصِي
الرقيد	Ar-Riqayyid	رِقَيِّد
سوسة	Susa	سُوسَة
أوبرتال	Oberthal	أُوبَرْتَال
أوبرين	O'Brien	أُوبَرْيَن
أوبيليتش	Obilić	أُوبِيلِيتْش
أوبلي	Ubly	أُوبْلِي
أركوي	Arki	أَرْكُوِي
أنفيلا	Anfila	أَنْفِيلَا
الشكله	Ash-Shaklah	شَكْلَه
أنغرغان	Angergan	أَنْغَرْغَان
اصلة	Asleh	أَصْلَة
أودل	Odell	أُودِل
أنيلاكو	Anillaco	أَنِيلَاكُو
أنغوليم	Angoulême	أَنْغُولِيم
أرامايونا	Aramaio	أَرَامَايُونَا
أياني	Ayane	أَيَانِي
أنجالي	Anjali	أَنْجَالِي
خشاش	Khishash	خِشَاش
ازوا	Azua	أَزُوَا
خوفو	Khufu	خُوفُو
أنسغار	Ansgar	أَنْسْغَار
أتيو	Atiu	أَتِيُو
أوعل	Aw'al	أَوْعَل
أنثيميوس	Anthemius	أَنْثِيمِيُوس
عربسيو	Arabsiyo	عَرَبْسِيُو
عرافيت	Arafit	عَرَافِيت
أوغوس	Ogus	أُوغُوس
أوماك	Omak	أُومَاك
أوريم	Orem	أُورِيم
أوريم	Ourém	أُورِيم
آليجي	Alcîya	آلِيجِي
البياض	Bayyad	بَيَّاض
أراغورن	Aragorn	أَرَاغُورْن
أرندت	Arendt	أَرِنْدْت
شحمة	Shahma	شَحْمَة
أراباهو	Arapaho	أَرَابَاهُو
شطحة	Shathah	شَطْحَة
أرابيوشا	Arapuša	أَرَابِيُوشَا
شلنك	Shelnak	شِلْنَك
عرباوة	Arbaoua	عَرْبَاوَة
أرباتان	Arbatan	أَرْبَاتَان
أساكو	ASACO	أَسَاكُو
أسانو	Asano	أَسَانُو
أيرومورا	Arimura	أَيْرُومُورَا
بعشا	Baasha	بَعْشَا
بهلة	Bahleh	بَهْلَة
أرسيليك	Arçelik	أَرْسِيلِيك
كونن	Conan	كُونَن
بسام	Bassam	بَسَّام
أرتشينا	Archena	أَرْتْشِينَا
بنلد	Benld	بِنْلْد
بسوة	Pasveh	بِسْوَة
أركوي	Arkoe	أَرْكُوِي
بيسيك	BASIC	بِيسِيك
كروفا	Crova	كْرُوفَا
بيسيك	Pisek	بِيسِيك
أرنزفيل	Arenzville	أَرِنْزْفِيل
بيتيت	Petit	بِيتِيت
أوسثوس	Osthouse	أُوسْثُوس
أوطاخي	Eutyches	أُوطَاخِي
أرَيُولُس	Arraiolos	أَرَيُولُس
أوثو	Otho	أُوثُو
بوراي	Buray	بُورَاي
بوخوف	Púchov	بُوخُوف
بوزوم	Bozoum	بُوزُوم
داديخ	Dadikh	دَادِيخ
داهود	Dahod	دَاهُود
دالاس	Dallas	دَالَاس
داروك	DarUk	دَارُوك
دايان	Dayan	دَايَان
عروسان	Arusan	عَرُوسَان
دوكة	Dawkah	دَوْكَة
آلفلد	Alfeld	آلْفِلْد
ديغوس	Digos	دِيغُوس
آرغريتش	Argerich	آرْغْرِيتْش
آسكوي	Askøy	آسْكُوي
آستارا	Astara	آسْتَارَا
آتنغل	Attingal	آتِنْغَل
السخنة	El-Sokhna	سُخْنَة
آتشال	Achall	آتْشَال
آتشاركوت	Acharkut	آتْشَارْكُوت
آخساخلار	Akhsakhlar	آخْسَاخْلَار
آيجير	Aegir	آيْجِير
شابوص	Shabus	شَابُوص
شادمهر	Shadmehr	شَادْمِهْر
شاغر	Shaghir	شَاغِر
ديمان	Diman	دِيمَان
فريير	Freer	فْرِييِر
دينير	Denner	دِينِير
دودار	Dúdar	دُودَار
دوفور	Dufour	دُوفُور
دوفور	Dufur	دُوفُور
أرماه	Armagh	أَرْمَاه
أسبري	Asbury	أَسْبُرِي
دونيل	Donnell	دُونِيل
دونيل	Dunnell	دُونِيل
علام	Alam	عَلَام
علام	Allam	عَلَّام
الحبيل	Habil	حَبِيل
عقرة	Akre	عَقْرَة
أرطميدورس	Artemidoros	أَرْطَمِيدُورُس
فالوز	Fallows	فَالُوز
فاسيت	Fassett	فَاسِيت
فردن	Verden	فِرْدِن
فيديس	Faedis	فِيدِيس
فيديس	Vides	فِيدِيس
عاشيت	Ashayet	عَاشَيْت
فيليم	Velim	فِيلِيم
فيريث	Férez	فِيرِيث
فُدجَة	Foggia	فُدْجَة
فوكام	Fawkham	فُوكَام
شريفلو	Shariflu	شَرِيفْلُو
احدى	Ihda	إِحْدَى
أتكيوسوك	Atqasuk	أَتْكْيُوسُوك
غالوس	Gallus	غَالُوس
ايرين	Irin	إِيرِين
أتيلا	Attila	أَتِيلَا
غيلون	Gilon	غِيلُون
غردي	Gordi	غُرْدِي
حشنة	Hasheneh	حَشْنَة
هاكو	Hakko	هَاكُّو
هاواي	Hawaï	هَاوَاي
هاواي	Hawaii	هَاوَاي
حبحب	Habhab	حَبْحَب
أتينغ	Atting	أَتِينْغ
أسوبوس	Asopos	أَسُوبُوس
شيشاوان	Shishavan	شِيشَاوَان
أتيليتا	Ateleta	أَتِيلِيتَا
هيجين	Hejin	هِيجِين
هوهوت	Hohhot	هُوهُوت
شيفر	Schafer	شِيفَر
شيفر	Schäfer	شِيفَر
أثاماس	Athamas	أَثَامَاس
أثاناريك	Athanaric	أَثَانَارِيك
شيلان	Chelan	شِيلَان
شيلان	Shilan	شِيلَان
شيمورا	Shimura	شِيمُورَا
شينافان	Shenavan	شِينَافَان
شينيفيل	Chénéville	شِينِيفِيل
شينينغ	Xining	شِينِينْغ
كونيغ	König	كُونِيغ
أوفلانس	Auflance	أُوفْلَانْس
جمصة	Gamasa	جَمَصَة
أولا	Aulla	أَوُلَّا
جيهان	Jehan	جِيهَان
اللجون	Lajjun	لَجُّون
جيهان	Jihan	جِيهَان
شيصة	Shisah	شِيصَة
جيمين	Jimin	جِيمِين
شبونهايم	Sponheim	شْبُونْهَايِم
شفاندورف	Schwandorf	شْفَانْدُورْف
جيسات	Gessate	جِيسَات
جنتر	Gunter	جُنْتَر
جوناس	Jonas	جُونَاس
جوقان	Juqan	جُوقَان
شبيطة	Shbita	شْبَيْطَة
شحمة	Shuhmah	شُحْمَة
شمارخ	Shamarikh	شَمَارِخ
شقرة	Shuqrah	شُقْرَة
شريط	Shurayt	شُرَيْط
أورياريا	Auriaria	أُورِيَارِيَا
أرورا	Aurora	أُرُورَا
أواجيق	Avajiq	أَوَاجِيق
شولان	Shulan	شُولَان
شولتز	Shultz	شُولْتْز
أفينتجورا	Aventura	أَفِينْتُجُورَا
كودن	Cowden	كَوْدِن
شوتس	Schütz	شُوتْس
المطلة	Matleh	مَطْلَة
ماولا	Maula	مَاوْلَا
باباغير	Babagir	بَابَاغِير
بابنا	Băbana	بَابَنَا
أفريلي	Avrilly	أَفْرِيلِي
عوالي	Awali	عَوَالِي
عيان	Ayan	عَيَان
عياصره	Ayasrah	عَيَاصْرَه
بادين	Paden	بَادِين
بافو	Paavo	بَافُو
بافو	Pavo	بَافُو
مندع	Minda	مِنْدَع
باغين	Baghin	بَاغِين
باهتة	Bahtah	بَاهْتَة
باجو	Bago	بَاجُو
باجو	Paju	بَاجُو
باكي	Becky	بَاكِي
باكي	Paki	بَاكِي
أيطن	Aydın	أَيْطَن
مواري	Murray	مُوَارِي
أزادبر	Azadbar	أَزَادْبَر
بالح	Balih	بَالِح
بالد	Baled	بَالِد
أزراح	Azarah	أَزَرَاح
أزيبين	Azepine	أَزِيبِين
بالتسي	Bălți	بَالْتْسِي
لبوة	Labwah	لَبْوَة
ناسو	Nassau	نَاسُو
بابنا	Babna	بَابْنَا
بانف	Banff	بَانْف
بدولي	Baduli	بَدُولِي
نايكي	Nike	نَايْكِي
باينفيل	Bainville	بَايِنْفِيل
مافيي	Maffei	مَافِيي
بحصاصة	Bahsassa	بَحْصَاصَة
بجيلة	Bajila	بَجِيلَة
بلهدان	Balahdan	بَلَهْدَان
الجبار	Orion	جَبَّار
أوستي	Ostindustrie	أُوسْتِي
بالانجيرو	Balangero	بَالَانْجِيرُو
بانكس	Banks	بَانْكْس
باري	Bari	بَارِي
باري	Barry	بَارِي
بانلونغ	Banlung	بَانْلُونْغ
باناش	Bannach	بَانَاش
بعقوبة	Baqubah	بَعْقُوبَة
برنقور	Baranqur	بَرَنْقُور
باربر	Barber	بَارْبَر
بيتون	Petone	بِيتُون
باردي	Bardi	بَارْدِي
باربرو	Barbro	بَارْبْرُو
بارينغ	Baring	بَارِينْغ
بارك	PARC	بَارْك
بارك	Park	بَارْك
بيرد	Baird	بِيرْد
بارلو	Barlow	بَارْلُو
مسحة	Mas-ha	مَسْحَة
بلاط	Ballat	بَلَّاط
برميون	Barmeyun	بَرْمِيُون
باري	Bare	بَارِي
الرتبة	Ratba	رَتْبَة
باسينيانا	Bassignana	بَاسِينْيَانَا
بارمظة	Barmazh	بَارْمَظَة
باتيرنو	Baterno	بَاتِيرْنُو
بوتسفيورد	Båtsfjord	بُوتْسْفْيُورْد
بارو	Bar	بَارُو
بارو	Baro	بَارُو
ريزي	Rezé	رِيزَي
بارو	Barrow	بَارُو
بارو	Paro	بَارُو
باروس	Barros	بَارُوس
باروس	Paros	بَارُوس
باروس	Parus	بَارُوس
باتوان	Batuan	بَاتُوَان
باومهولدر	Baumholder	بَاوْمْهُولْدَر
بارالي	Barrali	بَارَالِي
بايوجان	Bayugan	بَايُوجَان
باري	Barre	بَارِي
باري	Barrie	بَارِي
بينهم	Beenham	بِينْهَم
بيكيلي	Bekily	بِيكِيلِي
باوج	Bavaj	بَاوَج
بيسهنتر	Basshunter	بِيسْهَنْتَر
نوجان	Nowjan	نُوجَان
شفايش	Schweich	شْفَايِش
بلفاع	Belfaa	بِلْفَاع
بلفاست	Belfast	بِلْفَاسْت
راجان	Razhan	رَاجَان
بلترام	Beltrame	بِلْتْرَام
ريدان	Ridan	رِيدَان
ريدان	Ridane	رِيدَان
بلفيليو	Belveglio	بَلْفِيلْيُو
بيناكوفاك	Benakovac	بِينَاكُوفَاك
بنيدورم	Benidorm	بِنِيدُورْم
رودين	Rhoden	رُودِين
رودين	Rodin	رُودِين
رودين	Ruden	رُودِين
